SYMBOL;GENENAME;GSM2696758;GSM2696759;GSM2696760;GSM2696761;GSM2696762;GSM2696763;GSM2696764;GSM2696765;GSM2696766;GSM2696767;GSM2696768;GSM2696769;GSM2696770
TSPAN6;tetraspanin 6;9.35429261997248;9.42256899486532;9.39866443184922;9.32790380468201;9.23806174352847;9.18676174078573;9.4934290490222;8.55330935544955;8.459990256975;8.64842290282153;9.93671039009265;9.71631729531042;9.19888103540101
TNMD;tenomodulin;3.29752977894956;3.19772167721461;3.19876977095636;3.04733891735756;3.39717246031847;3.04831163180379;3.15198895070213;3.18246597877389;3.13944042771639;3.354290433797;3.67354269489127;3.10566913681914;3.05972085235541
DPM1;dolichyl-phosphate mannosyltransferase subunit 1, catalytic;9.15532874791744;9.09952757272775;8.80097873147041;9.15800698264904;9.17661858984541;9.00501720535641;9.28647903835234;9.93837990915462;9.94771840590162;9.61059064158461;9.77233593545988;9.45624237966795;9.36588926776972
SCYL3;SCY1 like pseudokinase 3;5.7772623470476;5.91716660268963;5.85546944695547;5.70202513893933;5.61071911203693;5.68242817237653;5.95152280948946;5.72111297232434;5.81695779695345;6.03354457187279;4.52233963380449;5.33545790067749;5.73649374317533
C1orf112;chromosome 1 open reading frame 112;4.78650715777892;5.00176434199326;4.89904628491149;4.6280544320913;4.69734846434634;4.70196784925749;4.92215352337953;4.57934502901533;4.3590242888477;4.54717976347429;4.45026164654187;4.6023779318137;4.59269725794385
FGR;FGR proto-oncogene, Src family tyrosine kinase;4.38612809706417;4.60375544411372;4.70558241338996;4.60927236825821;4.60375544411372;4.60375544411372;4.45486662884185;4.60375544411372;4.8153055773984;4.60375544411372;4.60375544411372;4.5581117933725;4.55346868187465
NA;NA;10.3339639713743;10.0930838397017;10.2556586423859;9.50421454072859;9.49869575023246;9.44055153255634;10.0403002448469;9.81560290855084;9.78183297286431;9.89876538281393;9.55361216115246;9.62707436317116;9.61988402035662
FUCA2;alpha-L-fucosidase 2;8.57591469271474;8.47941918820419;8.55998350107164;8.31678960032861;7.87426817959744;7.97983665825166;8.48574822712125;8.09385409327458;8.03275683950964;7.97990975251161;9.41419063798865;9.32820208466748;9.2910770686843
GCLC;glutamate-cysteine ligase catalytic subunit;7.37397405149343;7.61303056609043;7.61566158082885;6.23193288755081;6.89904084590264;7.01380741090037;6.69920317499879;10.1120063171269;10.1256599484402;10.4218335183446;7.15199389234279;7.22869637442364;7.55658945661208
NFYA;nuclear transcription factor Y subunit alpha;7.19156091747072;7.17201420443974;7.20323751073329;7.23892349058054;7.11650635120744;7.11985609145129;7.30183829946233;7.25604286284608;7.23221383849949;7.29463981801468;6.63813640811902;7.025292749137;7.16283308856815
STPG1;sperm tail PG-rich repeat containing 1;4.77265201030529;4.63911914194392;5.13938366404273;5.36930266739646;4.88166473756062;5.3457654451719;5.3353583647435;5.31796552636665;5.27883060141606;5.16216444672796;6.44088321216211;6.05907908178974;6.63167864163229
NIPAL3;NIPA like domain containing 3;5.73424028196659;5.59085779483243;5.66287314974346;5.85943721841343;5.66200649941985;5.75918979797984;6.13900260537198;4.95165119907415;4.50909878369134;4.88065950271603;6.88074507200363;7.06666987199941;6.98772920586541
LAS1L;LAS1 like ribosome biogenesis factor;7.02090931358505;6.83277847649844;7.03082910755704;7.07253805961789;7.06386203239801;7.10464621207209;6.96680620731516;7.01576285407412;6.99198564757425;6.63963543477403;6.16649520431753;7.01576285407412;7.35467467489121
ENPP4;ectonucleotide pyrophosphatase/phosphodiesterase 4;5.13649905889427;5.10349040301804;4.97929157221744;5.06579619027344;5.15241607314744;5.25473856498961;5.23807681533903;5.20245627036815;5.06923158783487;5.05420189321633;6.91307115472921;6.28531632677636;6.33989674702636
SEMA3F;semaphorin 3F;5.55590953204321;5.54736654995123;5.69951268199033;5.55590953204321;5.60806599565485;5.77208573259256;5.50966608095128;5.21906364810152;5.27966814416182;4.95249171309067;5.4929014061553;5.82763902687674;6.29760607379347
CFTR;CF transmembrane conductance regulator;2.83181928518995;2.87373976323095;2.8718205303513;2.8718205303513;3.09289527221481;2.79563393461172;2.90913912058018;2.8718205303513;2.8718205303513;3.14435290554458;3.14571824070438;2.78920357589669;2.76020457187695
ANKIB1;ankyrin repeat and IBR domain containing 1;8.72487583688596;8.78275625858257;8.56426192657849;8.72102971762338;8.88509933383011;8.84789665747166;8.91559700363872;9.01033889019362;8.9645943117001;9.05558105205375;8.51999993265076;8.87183364318777;9.00268900034878
CYP51A1;cytochrome P450 family 51 subfamily A member 1;5.05651880733573;5.02798707708349;4.83683455352856;4.59780152781458;5.04811860025007;4.6176723446038;5.05651880733573;5.41125712984895;5.38233230991875;5.48256743552935;4.59114356511251;5.64599554390785;5.72582442269695
NA;NA;8.0104354587614;8.07996409950745;7.92105808018136;7.91870033284448;8.00924621988844;8.08566963923727;8.02151039534889;8.20910782628686;8.2171081202354;8.16506883139486;7.61503440620033;7.84766121793759;7.53619670610303
RAD52;RAD52 homolog, DNA repair protein;6.53488827894265;6.88612651629639;6.56253676057607;6.45089300238546;6.75126729944374;7.04786260236111;6.17974617782461;6.8569254842597;7.14234066450078;7.43998662178337;6.80631316033178;6.57924335481321;5.97449091693283
NA;NA;3.75094585782033;4.1351585706819;3.99529328935902;4.04743657177177;4.04743657177177;4.04743657177177;4.04743657177177;4.14281440758634;3.97855425544313;4.05566671634909;4.20765715404487;3.92357597153535;3.80105358321898
BAD;BCL2 associated agonist of cell death;6.17400910173257;6.08980691936382;6.46119887997888;6.52273158144238;6.34072457803962;6.31939712519899;6.45776361777488;6.52114431626408;6.64365276395698;6.27045078438185;6.10262365802857;6.85673328089003;6.96773527876015
LAP3;leucine aminopeptidase 3;7.52230225261192;7.24282934526988;7.43004254650218;7.36095776088179;6.97457629306193;6.81537056101238;7.47154683786731;7.52230225261192;7.52230225261192;7.70139488031366;7.99064950709768;8.08053874019246;8.01350916932821
CD99;CD99 molecule (Xg blood group);11.3406196336592;11.0683099395793;11.3962263381558;11.2220660890571;11.2174157943668;10.9906106111824;11.478281822885;10.7287570198511;10.7954075953575;10.4868805594159;10.2631164870494;11.5082115264724;11.385812968321
CD99;CD99 molecule (Xg blood group);11.3406196336592;11.0683099395793;11.3962263381558;11.2220660890571;11.2174157943668;10.9906106111824;11.478281822885;10.7287570198511;10.7954075953575;10.4868805594159;10.2631164870494;11.5082115264724;11.385812968321
HS3ST1;heparan sulfate-glucosamine 3-sulfotransferase 1;4.56915925994683;4.56904548027625;4.78541414328611;4.72542520912275;4.91902397081641;4.15413529718828;4.43557010888039;4.42283854483345;4.45429639295654;4.58142568932381;4.64123015582828;4.56915925994683;4.51911795501982
AOC1;amine oxidase copper containing 1;3.98137415759665;3.66186259217408;3.95985583015236;3.92691994371248;3.74822300036507;3.66904176283449;3.75839050038797;3.93241350197332;3.86902263338894;3.49403125150344;4.54584135204038;4.30773727278622;3.88238628388834
WNT16;Wnt family member 16;4.13075015706691;4.23510219500716;4.54130112556389;4.23510219500716;4.11782141285796;4.23510219500716;4.14417585595326;4.23510219500716;4.18187509751784;4.10799052420619;4.56441598742816;4.33185239634326;4.46198335118253
HECW1;HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1;4.18737960704062;3.82312356367445;3.78514996016215;3.82312356367445;3.7236050482636;3.87125288786389;3.82312356367445;3.64177427761903;3.73819166794943;3.89792494100477;3.86053927571597;3.82312356367445;3.84165611152947
NA;NA;5.7127078359909;5.60264183260776;5.83897958259337;5.70874382732775;5.8344403806494;5.80907019443796;5.7139551843141;5.79528557576887;5.68857050626385;5.72446306304753;6.16039631829013;5.82387474205466;5.94051227822305
LASP1;LIM and SH3 protein 1;9.90897771493217;9.81491525354137;9.91692636106189;10.0037411880456;9.84460574013277;9.63237971018367;10.0737108059318;8.38491122193106;8.31557252408114;8.23661677001163;9.24072514062005;10.8376001289126;10.9821576857864
NA;NA;4.49796305486855;4.22892007928525;4.2481440647871;4.36466992561746;4.34293240904942;4.4127853403654;3.66263187933195;4.33348325683669;4.42232318718774;3.73085402531216;4.09840700597699;4.48473990723385;5.00708950604611
SNX11;sorting nexin 11;5.5625471834371;5.55722981309498;5.78646272734587;5.48411352272794;5.82491285246328;5.52104593703807;5.63349616153924;5.80604143737659;5.82218822768595;5.86008375548771;6.68785239641514;6.34316396223739;6.24196317447162
TMEM176A;transmembrane protein 176A;3.74909176844909;3.86615782210352;3.88608769294346;4.01584390948298;3.84067752617001;3.80952801695815;3.82326129169448;3.85230900935709;3.76372810530596;3.84699405036876;4.18808622449243;3.81486965695537;3.86067431957204
M6PR;mannose-6-phosphate receptor, cation dependent;9.00192799332693;8.61659484626867;8.857402502175;8.56898301117786;8.34027216073294;8.46261292592703;8.84848948521653;9.29634989034532;9.30010516479543;9.08981170425272;8.27304058430357;9.90504368453865;9.43910162185947
KLHL13;kelch like family member 13;4.55309367814354;4.46017841956359;4.36712174674055;4.71161694157573;4.418866872178;4.50548153944715;4.51279586900237;3.34298295978463;4.04099369725194;4.08983807872252;4.83358124575977;5.64080329428965;5.49889517072162
CYP26B1;cytochrome P450 family 26 subfamily B member 1;3.98725958197837;3.95138395798229;3.99374748922311;4.04113438596861;3.86205365028008;4.15695763833459;3.96423347114954;3.97309918607948;3.98725958197837;4.11851896474429;3.93148287538099;3.68725078592748;3.98725958197837
ICA1;islet cell autoantigen 1;3.16237273290073;3.09345483537385;3.18300899960239;2.93541062876181;3.16237273290073;3.0666888885326;3.16237273290073;3.0365744746963;3.23668974406012;3.16900280695371;3.16237273290073;3.16900280695371;3.37875470613512
DBNDD1;dysbindin domain containing 1;5.87164834284241;5.59168398713679;5.87164834284241;5.88767829690915;5.68804322601059;5.92261586342851;5.64942932822822;5.87164834284241;5.78586991832428;5.82141140568588;6.08333105569529;6.05382402389052;5.92530923071788
ALS2;alsin Rho guanine nucleotide exchange factor ALS2;6.74594727500413;6.9364279742992;6.72799964125314;6.72799964125314;6.72799964125314;6.74008554180743;6.5850939001385;6.72799964125314;6.54414307420613;6.83108829606325;6.80936733823783;6.72799964125314;6.72799964125314
CASP10;caspase 10;3.37500001913229;3.49272149182517;3.46264304270397;3.46848780584222;3.17751480089172;3.31339183936295;3.27162178062155;3.37500001913229;3.31305525303679;3.37500001913229;3.37500001913229;3.3506270133809;3.21527982429159
CFLAR;CASP8 and FADD like apoptosis regulator;6.89813677959037;7.55110198759756;7.31852065474608;6.90472427775485;6.98762097786988;6.92482169778434;6.54705645822519;7.28104068289122;7.11697856071101;6.8586650533233;5.19896857348241;5.39117617083427;6.00720145206193
CFLAR;CASP8 and FADD like apoptosis regulator;7.61531817225623;7.60863011124906;7.29534061086953;7.17636006775179;7.35839583297796;7.33758639532351;7.2093251280428;7.44917458163754;7.41204420202276;7.72310499555414;6.95214290126268;6.79545733096814;7.33086000852056
TFPI;tissue factor pathway inhibitor;10.0044053567214;9.70573172191119;9.49534541501954;9.72216089232122;9.30448065589994;9.3834832470811;9.61252881955668;8.3794671768185;8.29736436265818;8.22243855433907;7.78508366711017;7.67821321803117;6.87373418206045
NDUFAF7;NADH:ubiquinone oxidoreductase complex assembly factor 7;6.83913491371533;6.61839285815715;6.67264303374794;6.946619795443;7.07713688524032;7.04081750845284;6.95289187041726;7.13022934036747;7.16025155588684;7.35295287503205;6.02605627397259;6.78346651123402;6.87049527386881
RBM5;RNA binding motif protein 5;8.65458913950129;8.65395332368912;8.78751568889051;8.67127998612762;8.99761415180171;9.1583814655022;8.80439827322546;8.37281755880681;8.28330726258531;8.48733037716753;7.44749849140234;8.0171795921308;8.46481512618963
MTMR7;myotubularin related protein 7;3.55074648122323;3.70459786031898;3.45228722225103;3.49721307261583;3.55074648122323;3.51843195112253;3.42463147547726;3.82863762246381;3.65974475546742;3.94485126958991;3.60356845310367;3.34130611119423;3.11478340853094
SLC7A2;solute carrier family 7 member 2;3.64135027944701;3.58660419110057;3.70940998952415;3.46230597179432;3.43313352973811;3.81178349975853;3.41529922773458;4.50157514428724;5.01042606010918;4.91371789823895;3.41563734042766;3.62212161388493;3.43740281151288
ARF5;ADP ribosylation factor 5;6.90163339007819;6.75090575704679;6.82273890371963;6.90387410979551;6.85170722152693;6.77831660122819;7.18435469256623;6.84910309648528;6.86307525765064;6.89011083487976;6.32367054704788;7.26401381017532;7.17163694874275
SARM1;sterile alpha and TIR motif containing 1;4.85688781727562;4.94061750123386;5.25969645874537;5.46064518858076;5.40891693255423;5.33061758180232;5.21620687544814;5.35862618129721;5.33061758180232;5.00507895444088;5.51612939309409;5.63116889089239;5.53674408109082
POLDIP2;DNA polymerase delta interacting protein 2;7.9034104252925;7.64028295538507;8.02072961634187;8.07680478091854;7.99252043079125;7.83675273320393;7.90182889340013;8.03181809451121;8.11884295145802;7.85963823423469;7.96053552583504;8.76023328774107;8.66587658430801
PLXND1;plexin D1;7.43144943919923;7.10588499501531;7.18970387032595;7.47041557870444;7.58536688467743;7.51075694706861;7.4640515872798;6.01678606330779;6.14576502771636;5.88938128096123;6.54856022521489;7.25566873025603;7.26096726205104
AK2;adenylate kinase 2;7.30078371073366;7.51978588522897;7.29857311725456;7.43898282749234;7.49853594359512;7.47373124480176;7.47669840686686;7.7452531181475;7.89989978437917;7.96647503864008;6.67763221911194;6.77985639808934;7.05253462404762
NA;NA;11.0483741355295;11.2570601153497;11.0521219520156;11.2726122627743;11.4533662611165;11.4385436061423;11.2845370409428;11.6350407236155;11.6002045244288;11.703090076541;10.0862169614724;10.5235797075589;10.5609053025804
CD38;CD38 molecule;3.11917912724723;3.21203656630474;3.23475432475183;3.44285466825402;3.43451385749978;3.48780274893762;3.16741068439794;3.58525724035302;3.54493973616237;3.53070734966138;3.70481911549152;3.37652487980428;3.3765462551709
CD38;CD38 molecule;3.36794783950267;3.40345959614111;3.56982264308416;3.61547875087708;3.61547875087708;3.6613540646238;3.38815540067941;3.73672716514264;3.73858497113097;3.73858497113097;3.88675429275249;3.49529854255414;3.49298931186338
FKBP4;FKBP prolyl isomerase 4;7.82268386401252;7.74480833321623;7.68423117175075;7.78531136462011;7.9842992979122;8.03123957600476;7.89445059998207;8.2483964497114;8.15577055077408;8.12861815559107;6.55568872311118;8.37355890508685;8.44462590398031
KDM1A;lysine demethylase 1A;9.44087231886974;9.33229412225677;9.20686323732615;9.34528581425381;9.34191074131606;9.44143243954759;9.5183230114636;8.99590211435394;8.96173703036082;9.00412822767893;8.79302077732826;8.61698348291764;8.87967139679132
RBM6;RNA binding motif protein 6;7.82036599367718;7.73838335833887;7.65979820184938;7.53714067379381;7.78008202392633;7.59148732811741;7.54185633758716;7.81507978431559;7.61800541374126;7.60236927346316;7.38875500001206;7.65070875120841;7.65103701879513
CAMKK1;calcium/calmodulin dependent protein kinase kinase 1;4.83508895341181;4.66058585584537;5.09964897583809;4.79936116500793;5.01974373466064;5.02144839209751;5.02643732627251;4.89787114954454;4.99749110084157;5.33073318262573;4.84102616080386;4.43631736190839;4.55547758218158
RECQL;RecQ like helicase;7.57400907364221;7.75687946085959;7.52530840561682;7.66435101166367;7.55976877232537;7.30941273540128;7.9490393693619;8.83071326329361;8.77371394184491;8.93833861005381;8.11565793840843;8.24821617854769;8.20349583388005
VPS50;VPS50 subunit of EARP/GARPII complex;6.49527857318935;6.44727994045164;6.30751473610669;6.41811547230506;6.45262143389053;6.47354183470919;6.55076390102958;6.5797165499327;6.55076390102958;6.57611787121156;6.55629406706551;6.87389413481319;6.87467257930533
HSPB6;heat shock protein family B (small) member 6;5.24173433641089;5.05139376749056;5.66385585546879;5.98359575757428;6.04675211687552;5.82002775912444;6.45892652832239;4.757680788405;5.50916048915216;4.70998095359099;6.2268532767732;7.15660402866697;7.80385129337077
ARHGAP33;Rho GTPase activating protein 33;5.24940482571218;5.31112013429453;5.48875264849769;5.26412464426717;5.31014950950979;5.22449741723869;5.13161188132534;5.24019595571487;5.26412464426717;5.39869115889581;5.26412464426717;5.27595040935843;5.41353375981313
NDUFAB1;NADH:ubiquinone oxidoreductase subunit AB1;9.89272006341825;9.72734995833002;9.91198302309122;9.80850729218974;9.8401896671323;9.85342742129619;10.0083204799063;10.325166973754;10.332524395735;10.2091945263492;10.8130992889335;10.6093125254737;10.3746876416703
PDK4;pyruvate dehydrogenase kinase 4;8.13808514636803;8.26673790622896;7.85632726253351;7.87796962211562;7.52604800328649;7.87569759506414;7.32494097672146;5.18336920045644;5.27056342265231;5.04496915028675;5.05572748296946;4.76092995438072;4.81481522587132
SLC22A16;solute carrier family 22 member 16;3.00934972381984;3.04177078898754;3.00656524208904;3.00656524208904;3.1702572895936;3.14381772338546;3.16887162889196;3.22105533656227;3.2235391912712;3.47906123877504;4.00540998561917;3.1702572895936;3.22803941068405
ZMYND10;zinc finger MYND-type containing 10;4.67715036002506;4.52843493928351;4.89064491526948;4.67693615284028;4.88978343548369;4.79395502813508;4.49015745761151;4.65893339009356;4.67020522369407;4.47388523596684;4.83638766252073;4.69536452577545;4.52441900699007
ABCB5;ATP binding cassette subfamily B member 5;2.83118128072588;2.82387459127204;2.81877206148345;2.75049124669037;2.67369442789119;2.87005281389184;2.80117513469429;2.81877206148345;2.82727444489665;2.96297274132264;2.81877206148345;2.9057189832061;2.81877206148345
ARX;aristaless related homeobox;4.97552040938072;4.82480617472931;5.25694667813881;5.02408381230556;4.78218628607417;4.84591070946119;4.69433011599149;5.1340738463147;5.26949182365289;5.23904290900957;5.30101951902352;5.39149412698918;5.18628503709447
